number,author,title,vertices,edges,faces,eps,variables,taco-taco,taco-tortilla,tortilla-tortilla,transitivity,reduced_trans,components,limited,states,component_assignments,setup_sec,solve_sec
288,Daniel BROWN,4x4 D27,120,256,137,8,1276,340,1020,0,5956,3828,5,no limit,256,|1|4|4|4|4|,0.0218,0.001
289,Daniel BROWN,4x4 D28,36,72,37,32,212,44,168,0,568,272,5,no limit,16,|1|2|2|2|2|,0.0064,0.0002
290,Daniel BROWN,4x4 D29,120,240,121,8,1408,432,1040,0,8928,6404,9,no limit,20736,|1|2|2|2|2|6|6|6|6|,0.0284,0.0054
291,Daniel BROWN,4x4 D30,104,228,125,8,1544,524,936,0,10268,7468,9,no limit,331776,|1|3|3|3|3|8|8|8|8|,0.0319,0.0316
292,Daniel BROWN,4x4 D31,128,280,153,8,1612,384,1392,0,9264,6612,5,no limit,16,|1|2|2|2|2|,0.0296,0.0002
293,Daniel BROWN,4x4 D32,100,236,137,8,1384,464,948,0,7256,4728,9,no limit,6561,|1|3|3|3|3|3|3|3|3|,0.025,0.0024
294,Daniel BROWN,4x4 D33,104,216,113,8,1304,412,968,0,7560,5148,13,no limit,104976,|1|2|2|2|2|3|3|3|3|3|3|3|3|,0.0259,0.0068
295,Daniel BROWN,4x4 D34,160,360,201,8,2520,788,1928,0,16824,12164,13,no limit,614656,|1|2|2|2|2|2|2|2|2|7|7|7|7|,0.0575,0.0064
296,Daniel BROWN,4x4 D35,72,144,73,8,500,144,344,0,1616,808,2,no limit,194,|1|194|,0.0089,0.0233
297,Daniel BROWN,4x4 D36,128,288,161,8,2520,848,1740,0,21820,17000,5,no limit,50625,|1|15|15|15|15|,0.0563,0.0243
298,Daniel BROWN,4x4 D38,108,232,125,8,1144,220,1152,0,4892,3096,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0231,0.0005
299,Daniel BROWN,4x4 D39,84,180,97,8,696,180,500,0,2452,1396,9,no limit,20736,|1|2|2|2|2|6|6|6|6|,0.0121,0.0021
300,Daniel BROWN,4x4 D40,80,168,89,8,876,276,592,0,4448,2924,9,no limit,331776,|1|2|2|2|2|12|12|12|12|,0.0168,0.0079
301,Daniel BROWN,4x4 D41,104,216,113,8,1344,396,1000,0,8292,5932,9,no limit,1296,|1|2|2|2|2|3|3|3|3|,0.0249,0.0015
302,Daniel BROWN,4x4 D42,32,64,33,8,196,36,168,0,544,276,1,no limit,1,|1|,0.0057,0
303,Daniel BROWN,4x4 D43,116,244,129,8,1072,244,896,0,4096,2456,5,no limit,1296,|1|6|6|6|6|,0.0177,0.0024
304,Daniel BROWN,4x4 D44,124,276,153,8,1716,512,1252,0,11148,8144,9,no limit,4096,|1|2|2|2|2|4|4|4|4|,0.0328,0.0033
305,Daniel BROWN,4x4 D45,108,236,129,8,1496,488,940,0,9716,7064,9,no limit,65536,|1|2|2|2|2|8|8|8|8|,0.0344,0.0317
306,Daniel BROWN,4x4 D46,112,260,149,8,1904,592,1308,0,12940,9524,5,no limit,4100625,|1|45|45|45|45|,0.0381,0.0455
307,Daniel BROWN,4x4 D47,104,212,109,8,1376,424,1004,0,9252,6752,9,no limit,160000,|1|2|2|2|2|10|10|10|10|,0.0292,0.0272
308,Daniel BROWN,4x4 D48,88,196,109,8,940,204,816,0,4228,2768,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0168,0.001
309,Daniel BROWN,4x4 D49,92,204,113,8,1848,680,1240,0,17976,14264,5,no limit,38416,|1|14|14|14|14|,0.0432,0.0255
310,Daniel BROWN,4x4 D50,128,272,145,8,1672,416,1412,0,10760,7960,9,no limit,4096,|1|2|2|2|2|4|4|4|4|,0.0307,0.0022
311,Daniel BROWN,4x4 D51,72,152,81,8,648,224,340,0,2464,1376,5,no limit,1296,|1|6|6|6|6|,0.0105,0.0027
312,Daniel BROWN,4x4 D52,48,96,49,8,368,152,124,0,1476,828,5,no limit,16,|1|2|2|2|2|,0.0065,0.0006
313,Daniel BROWN,4x4 D53,60,120,61,8,384,84,316,0,1160,612,5,no limit,16,|1|2|2|2|2|,0.0071,0
314,Daniel BROWN,4x4 D54,84,172,89,8,764,264,532,0,3272,1908,1,no limit,1,|1|,0.0143,0
315,Daniel BROWN,4x4 D55,112,240,129,8,1408,412,1100,0,7888,5396,5,no limit,1296,|1|6|6|6|6|,0.0253,0.0023
316,Daniel BROWN,4x4 D56,80,160,81,8,688,256,448,0,2916,1660,5,no limit,16,|1|2|2|2|2|,0.0152,0.0003
317,Daniel BROWN,4x4 D57,40,80,41,8,268,60,260,0,900,480,5,no limit,16,|1|2|2|2|2|,0.0053,0.0006
318,Daniel BROWN,4x4 D58,80,176,97,8,1232,456,676,0,8736,6428,2,no limit,531441,|1|531441|,0.0287,145.185
319,Daniel BROWN,4x4 D59,76,148,73,8,692,212,592,0,3600,2320,5,no limit,16,|1|2|2|2|2|,0.019,0.001
320,Daniel BROWN,4x4 D60,32,60,29,8,136,20,120,0,284,120,5,no limit,81,|1|3|3|3|3|,0.004,0.0002
321,Daniel BROWN,4x4 D61,64,128,65,8,376,60,344,0,940,456,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0071,0.0001
322,Daniel BROWN,4x4 D62,128,260,133,8,1060,236,1008,0,3864,2188,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0223,0.0006
323,Daniel BROWN,4x4 D63,80,176,97,8,784,252,476,0,3376,2076,1,no limit,1,|1|,0.0137,0
324,Daniel BROWN,4x4 D64,84,176,93,8,824,300,516,0,3516,2012,5,no limit,50625,|1|15|15|15|15|,0.0154,0.0051
325,Daniel BROWN,4x4 D65,96,204,109,8,1184,324,956,0,6452,4400,1,no limit,1,|1|,0.0212,0
326,Daniel BROWN,4x4 D66,124,268,145,8,1212,260,1156,0,4600,2696,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0226,0.0004
327,Daniel BROWN,4x4 D67,92,184,93,8,792,284,524,0,3340,1892,5,no limit,16,|1|2|2|2|2|,0.0137,0.0002
328,Daniel BROWN,4x4 D68,124,268,145,8,1212,260,1156,0,4600,2696,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0232,0.0004
329,Daniel BROWN,4x4 D69,92,196,105,8,860,240,656,0,3396,1976,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0154,0.0005
330,Daniel BROWN,4x4 D70,132,300,169,8,2124,688,1456,0,14228,10356,9,no limit,4096,|1|2|2|2|2|4|4|4|4|,0.0398,0.0041
331,Daniel BROWN,4x4 D71,108,232,125,8,1348,300,1216,0,7692,5496,9,no limit,10000,|1|2|2|2|2|5|5|5|5|,0.025,0.0014
332,Daniel BROWN,4x4 D72,184,400,217,8,2740,732,2388,0,16716,11840,17,no limit,65536,|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|,0.0533,0.0041
333,Daniel BROWN,4x4 D73,132,264,133,8,1312,288,1328,0,6016,3836,13,no limit,4096,|1|2|2|2|2|2|2|2|2|2|2|2|2|,0.0239,0.0006
334,Daniel BROWN,4x4 D74,88,196,109,8,968,344,552,0,4536,2808,5,no limit,1,|1|1|1|1|1|,0.0172,0.002
335,Daniel BROWN,4x4 D75,92,204,113,8,1144,392,700,0,5880,3848,1,no limit,1,|1|,0.0199,0
336,Daniel BROWN,4x4 D76,116,244,129,8,1360,372,1076,0,7648,5316,9,no limit,160000,|1|5|5|5|5|4|4|4|4|,0.0251,0.0041
337,Daniel BROWN,4x4 D77,124,252,129,8,1140,220,1156,0,4464,2688,9,no limit,1296,|1|2|2|2|2|3|3|3|3|,0.0224,0.0011
338,Daniel BROWN,4x4 D78,60,128,69,8,456,92,368,0,1292,660,5,no limit,16,|1|2|2|2|2|,0.0084,0.0002
339,Daniel BROWN,4x4 D79,80,164,85,8,664,176,460,0,2656,1616,5,no limit,28561,|1|13|13|13|13|,0.0128,0.008
340,Daniel BROWN,4x4 D80,88,192,105,8,988,216,860,0,4156,2628,13,no limit,20736,|1|2|2|2|2|3|3|3|3|2|2|2|2|,0.0164,0.0013
341,Daniel BROWN,4x4 D81,104,228,125,8,1112,352,780,0,5156,3212,5,no limit,810000,|1|30|30|30|30|,0.0201,0.0091
342,Daniel BROWN,4x4 D82,100,232,133,8,1476,488,1024,0,8840,6128,13,no limit,104976,|1|2|2|2|2|3|3|3|3|3|3|3|3|,0.0274,0.0028
343,Daniel BROWN,4x4 D83,108,236,129,8,1320,316,1144,0,6172,4032,13,no limit,20736,|1|2|2|2|2|2|2|2|2|3|3|3|3|,0.0226,0.0021
344,Daniel BROWN,4x4 D84,128,288,161,8,1840,588,1292,0,11344,8020,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0337,0.0007
345,Daniel BROWN,4x4 D85,120,292,173,8,2468,892,1500,0,19320,14576,5,no limit,4100625,|1|45|45|45|45|,0.0526,0.0527
346,Daniel BROWN,4x4 D86,128,276,149,8,1332,340,1044,0,6140,4012,1,no limit,1,|1|,0.0227,0
347,Daniel BROWN,4x4 D87,176,376,201,8,2788,860,2104,0,19432,14300,13,no limit,25600000000,|1|2|2|2|2|10|10|10|10|20|20|20|20|,0.0532,0.0219
348,Daniel BROWN,4x4 D88,164,360,197,8,2336,620,1840,0,13656,9704,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0417,0.0008
349,Daniel BROWN,4x4 D89,136,288,153,8,2216,504,2084,0,15296,11464,9,no limit,1500625,|1|5|5|5|5|7|7|7|7|,0.0448,0.0107
350,Daniel BROWN,4x4 D90,168,372,205,8,2488,772,1856,0,14592,10056,5,no limit,625,|1|5|5|5|5|,0.0442,0.003
351,Daniel BROWN,4x4 D91,136,288,153,8,1732,432,1532,0,9820,6840,5,no limit,16,|1|2|2|2|2|,0.0343,0.0041
352,Daniel BROWN,4x4 D92,152,336,185,8,2140,624,1748,0,12744,8884,13,no limit,4096,|1|2|2|2|2|2|2|2|2|2|2|2|2|,0.0382,0.002
353,Daniel BROWN,4x4 D93,156,332,177,8,2568,756,2028,0,19424,14724,9,no limit,20736,|1|2|2|2|2|6|6|6|6|,0.0524,0.0142
354,Daniel BROWN,4x4 D94,180,392,213,8,2812,712,2484,0,17560,12656,13,no limit,1679616,|1|4|4|4|4|3|3|3|3|3|3|3|3|,0.0548,0.0105
355,Daniel BROWN,4x4 D95,80,184,105,8,912,308,528,0,4008,2420,5,no limit,2401,|1|7|7|7|7|,0.0197,0.0035
356,Daniel BROWN,4x4 D96,100,220,121,8,1088,336,680,0,4616,2824,9,no limit,1296,|1|2|2|2|2|3|3|3|3|,0.0218,0.0012
357,Daniel BROWN,4x4 D97,132,276,145,8,1452,360,1224,0,6824,4424,6,no limit,752,|1|2|2|2|2|47|,0.028,0.04
358,Daniel BROWN,4x4 D98,156,348,193,8,2020,560,1680,0,10688,7152,17,no limit,331776,|1|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|,0.0398,0.0022
359,Daniel BROWN,4x4 D99,76,172,97,16,1032,300,748,0,5564,3780,5,no limit,1,|1|1|1|1|1|,0.0213,0.0025
360,Daniel BROWN,4x4 D100,160,352,193,8,2400,728,1840,0,14496,10124,13,no limit,810000,|1|2|2|2|2|3|3|3|3|5|5|5|5|,0.0452,0.0057
361,Daniel BROWN,4x4 D101,108,248,141,8,1700,544,1136,0,11424,8364,1,no limit,1,|1|,0.0337,0
362,Daniel BROWN,4x4 D102,164,364,201,8,2120,520,1876,0,10712,7120,9,no limit,20736,|1|2|2|2|2|6|6|6|6|,0.0374,0.0061
363,Daniel BROWN,4x4 D103,80,172,93,8,672,192,468,0,2232,1164,13,no limit,614656,|1|2|2|2|2|2|2|2|2|7|7|7|7|,0.0158,0.0044
364,Daniel BROWN,4x4 D104,124,268,145,8,1212,260,1156,0,4600,2696,13,no limit,20736,|1|2|2|2|2|2|2|2|2|3|3|3|3|,0.0263,0.0012
365,Daniel BROWN,4x4 D105,76,168,93,8,756,260,408,0,3068,1776,5,no limit,38416,|1|14|14|14|14|,0.0143,0.006
366,Daniel BROWN,4x4 D106,148,320,173,8,1956,548,1636,0,11600,8136,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0381,0.0052
367,Daniel BROWN,4x4 D107,104,232,129,8,1148,408,720,0,5364,3272,9,no limit,810000,|1|3|3|3|3|10|10|10|10|,0.0216,0.0053
368,Daniel BROWN,4x4 D108,108,228,121,8,884,196,732,0,2988,1676,13,no limit,104976,|1|2|2|2|2|3|3|3|3|3|3|3|3|,0.0161,0.0008
369,Daniel BROWN,4x4 D109,108,228,121,8,1316,388,960,0,7428,5156,1,no limit,1,|1|,0.0246,0.0001
370,Daniel BROWN,4x4 D110,160,340,181,8,1824,364,1848,0,8380,5412,5,no limit,16,|1|2|2|2|2|,0.035,0.0005
371,Daniel BROWN,4x4 D111,104,236,133,8,1644,500,1156,0,10436,7520,5,no limit,279841,|1|23|23|23|23|,0.0325,0.0253
372,Daniel BROWN,4x4 D112,116,256,141,8,1616,464,1240,0,9924,7092,9,no limit,4096,|1|2|2|2|2|4|4|4|4|,0.0334,0.0014
373,Daniel BROWN,4x4 D113,112,252,141,8,1660,520,1232,0,11660,8616,5,no limit,81,|1|3|3|3|3|,0.0336,0.002
374,Daniel BROWN,4x4 D114,168,336,169,8,1828,352,1932,0,9344,6328,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0377,0.0012
