number,author,title,vertices,edges,faces,eps,variables,taco-taco,taco-tortilla,tortilla-tortilla,transitivity,reduced_trans,components,limited,states,component_assignments,setup_sec,solve_sec
157,Daniel BROWN,4x4 C16,92,176,85,8,928,224,836,0,4788,3252,13,no limit,160000,|1|2|2|2|2|2|2|2|2|5|5|5|5|,0.0186,0.0052
158,Daniel BROWN,4x4 C17,84,168,85,8,932,268,656,0,5708,4124,5,no limit,1296,|1|6|6|6|6|,0.0182,0.0047
159,Daniel BROWN,4x4 C18,56,116,61,8,432,96,344,0,1496,852,1,no limit,1,|1|,0.0077,0.0001
160,Daniel BROWN,4x4 C19,80,168,89,8,804,260,576,0,3892,2488,5,no limit,256,|1|4|4|4|4|,0.0172,0.0051
161,Daniel BROWN,4x4 C20,80,144,65,8,512,76,552,0,1888,1164,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0109,0.0008
162,Daniel BROWN,4x4 C21,221,385,165,8,1660,567,1478,0,8076,5268,13,no limit,160000,|1|2|2|2|2|2|2|2|2|5|5|5|5|,0.0356,0.0077
163,Daniel BROWN,4x4 C22,88,180,93,8,856,332,500,0,4748,3124,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.016,0.0019
164,Daniel BROWN,4x4 C23,88,176,89,8,1008,276,808,0,6200,4440,5,no limit,16,|1|2|2|2|2|,0.0204,0.0005
165,Daniel BROWN,4x4 C24,64,128,65,8,380,76,324,0,1044,512,1,no limit,1,|1|,0.0094,0
166,Daniel BROWN,4x4 C25,64,128,65,8,336,56,292,0,792,372,1,no limit,1,|1|,0.0077,0.0001
167,Daniel BROWN,4x4 C26,128,268,141,8,2744,1000,1852,0,31592,26012,5,no limit,1296,|1|6|6|6|6|,0.0843,0.0354
168,Daniel BROWN,4x4 C27,196,392,197,8,2440,860,1916,0,19900,15168,1,no limit,1,|1|,0.057,0.0001
169,Daniel BROWN,4x4 C28,176,328,153,8,1812,604,1352,0,12356,9036,9,no limit,1296,|1|3|3|3|3|2|2|2|2|,0.0401,0.0113
170,Daniel BROWN,4x4 C29,60,104,45,8,344,92,268,0,1312,768,5,no limit,16,|1|2|2|2|2|,0.0072,0.001
171,Daniel BROWN,4x4 C30,104,208,105,8,812,216,612,40,3372,2060,5,no limit,16,|1|2|2|2|2|,0.0157,0.0023
172,Daniel BROWN,4x4 C31,133,249,117,8,1128,216,1212,0,4648,2860,9,no limit,10000,|1|2|2|2|2|5|5|5|5|,0.022,0.0021
173,Daniel BROWN,4x4 C32,120,240,121,8,1436,408,1208,0,8760,6200,13,no limit,65536,|1|2|2|2|2|4|4|4|4|2|2|2|2|,0.0284,0.0053
174,Daniel BROWN,4x4 C33,148,296,149,8,2012,680,1524,0,15168,11296,9,no limit,3111696,|1|3|3|3|3|14|14|14|14|,0.0521,0.0335
175,Daniel BROWN,4x4 C34,88,168,81,8,616,188,476,0,2560,1508,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0115,0.0005
176,Daniel BROWN,4x4 C35,148,312,165,8,2388,880,1604,0,20688,15956,5,no limit,456976,|1|26|26|26|26|,0.0573,0.0495
177,Daniel BROWN,4x4 C36,44,96,53,8,324,72,228,0,940,504,1,no limit,1,|1|,0.0059,0
178,Daniel BROWN,4x4 C37,68,144,77,8,496,144,328,0,1548,788,5,no limit,81,|1|3|3|3|3|,0.0085,0.001
179,Daniel BROWN,4x4 C38,84,172,89,8,844,232,676,0,4128,2696,5,no limit,1296,|1|6|6|6|6|,0.0172,0.006
180,Daniel BROWN,4x4 C39,148,292,145,8,1132,356,952,0,4568,2548,13,no limit,4096,|1|2|2|2|2|2|2|2|2|2|2|2|2|,0.0231,0.0017
181,Daniel BROWN,4x4 C40,100,224,125,8,1664,368,1504,0,11360,8612,5,no limit,1048576,|1|32|32|32|32|,0.0331,0.0395
182,Daniel BROWN,4x4 C41,88,196,109,8,732,160,600,0,2268,1196,13,no limit,2560000,|1|2|2|2|2|2|2|2|2|10|10|10|10|,0.0128,0.0046
183,Daniel BROWN,4x4 C42,132,296,165,8,2556,792,1904,0,20852,16124,1,no limit,1,|1|,0.0513,0.0002
184,Daniel BROWN,4x4 C43,120,256,137,8,1692,500,1352,0,10964,7908,1,no limit,1,|1|,0.0381,0.0001
185,Daniel BROWN,4x4 C44,72,148,77,8,684,160,520,0,3012,1976,5,no limit,2401,|1|7|7|7|7|,0.0116,0.0026
186,Daniel BROWN,4x4 C45,116,240,125,8,1196,304,948,0,5544,3608,9,no limit,256,|1|2|2|2|2|2|2|2|2|,0.0209,0.0015
187,Daniel BROWN,4x4 C46,156,336,181,8,2324,732,1608,0,16732,12568,9,no limit,14776336,|1|2|2|2|2|31|31|31|31|,0.0541,0.0566
188,Daniel BROWN,4x4 C47,80,172,93,8,796,232,552,0,3544,2240,5,no limit,625,|1|5|5|5|5|,0.0155,0.0023
189,Daniel BROWN,4x4 C48,84,176,93,8,804,228,532,0,3620,2340,5,no limit,2401,|1|7|7|7|7|,0.0149,0.0037
190,Daniel BROWN,4x4 C49,120,248,129,8,1304,288,1136,0,6324,4248,9,no limit,104976,|1|2|2|2|2|9|9|9|9|,0.0238,0.007
191,Daniel BROWN,4x4 C50,124,276,153,8,1652,424,1380,0,9196,6408,5,no limit,4096,|1|8|8|8|8|,0.0297,0.0036
192,Daniel BROWN,4x4 C51,144,288,145,8,1640,408,1416,0,9048,6296,9,no limit,1296,|1|2|2|2|2|3|3|3|3|,0.03,0.0025
193,Daniel BROWN,4x4 C52,140,296,157,8,1872,528,1600,0,11400,8016,5,no limit,6561,|1|9|9|9|9|,0.0527,0.0049
194,Daniel BROWN,4x4 C53,76,160,85,8,632,192,388,0,2280,1280,5,no limit,625,|1|5|5|5|5|,0.0143,0.0016
195,Daniel BROWN,4x4 C54,84,180,97,8,876,272,552,0,3872,2396,1,no limit,1,|1|,0.015,0
196,Daniel BROWN,4x4 C55,76,164,89,8,1052,316,676,0,6992,5188,5,no limit,4096,|1|8|8|8|8|,0.0218,0.0101
197,Daniel BROWN,4x4 C56,168,376,209,8,2560,760,2132,0,17000,12296,21,no limit,1048576,|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|,0.0513,0.0021
198,Daniel BROWN,4x4 C57,136,304,169,8,2260,700,1644,0,16336,12240,9,no limit,810000,|1|5|5|5|5|6|6|6|6|,0.0507,0.0257
199,Daniel BROWN,4x4 C58,168,376,209,8,2560,760,2132,0,17000,12296,21,no limit,1048576,|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|,0.0505,0.0021
200,Daniel BROWN,4x4 C59,80,156,77,8,400,84,340,0,916,368,5,no limit,16,|1|2|2|2|2|,0.0085,0.0005
201,Daniel BROWN,4x4 C60,52,92,41,8,220,76,132,0,532,192,5,no limit,16,|1|2|2|2|2|,0.0045,0.0001
202,Daniel BROWN,4x4 C61,52,100,49,8,360,108,248,0,1232,652,5,no limit,81,|1|3|3|3|3|,0.0078,0.0004
203,Daniel BROWN,4x4 C62,148,312,165,8,1516,544,976,0,6996,4200,9,no limit,4096,|1|2|2|2|2|4|4|4|4|,0.0281,0.0046
204,Daniel BROWN,4x4 C63,52,96,45,32,312,72,260,0,1000,540,1,no limit,1,|1|,0.0101,0
205,Daniel BROWN,4x4 C64,168,372,205,8,2420,684,2168,0,16012,11556,17,no limit,65536,|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|,0.0505,0.0018
