dataset,number,author,title,vertices,edges,faces,eps,variables,taco-taco,taco-tortilla,tortilla-tortilla,transitivity,reduced_trans,components,limited,states,component_assignments
instagram,087,Mi WU,5x5 Flippable Pixel Grid 2,185,409,225,300,2440,483,2211,216,12445,8661,16,false,1179648,|1|2|2|2|2|2|2|2|3|3|2|2|4|4|4|4|
instagram,088,Hideo KOMATSU,Papillion,88,195,108,300,2362,561,2482,0,28764,24222,2,false,320,|1|320|
instagram,089,Traditional (ORIPA Data Set),9 Birdbase,85,232,148,300,5870,2357,3616,0,143748,131076,3,false,225,|1|15|15|
instagram,090,Kei MORISUE,Man,216,484,269,300,7742,1395,8618,929,128703,114919,9,false,1536,|1|2|2|2|2|3|4|4|2|
instagram,091,Jason KU,4 Stripes 1,34,67,34,300,288,84,220,0,1397,891,4,false,8,|1|2|2|2|
instagram,092,Jason KU,4 Stripes 2,88,169,82,300,389,55,191,252,848,473,3,false,14,|1|2|7|
instagram,093,Jason KU,4 Stripes 3,72,139,68,300,326,50,175,169,689,355,3,false,14,|1|2|7|
instagram,094,Jason KU,4 Stripes 4,104,209,106,300,849,147,647,336,4163,3003,3,false,10,|1|2|5|
instagram,095,Kota IMAI,Mantis v2.8,1317,2844,1528,300,115938,30462,139720,0,5409098,5151535,30,false,68534517899345316265775333376,|1|2|3|3|2|3|3|3|3|2|2|3|3|3|3|3|3|9|9|18|18|81|81|32|7|2916|2916|3|32|256|
instagram,096,Hideo KOMATSU,Horned Owl,34,71,38,300,359,71,344,0,1940,1356,1,false,1,|1|
instagram,097,Kei MORISUE,CP THX,104,200,97,300,902,145,1015,0,4372,2929,6,false,32,|1|2|2|2|2|2|
instagram,098,RS Origami,Inside Out,58,134,77,300,544,160,344,0,1932,1070,7,false,3136,|1|2|2|4|4|7|7|
instagram,099,Kyohei KATSUTA,Fox Wedding Bride,118,243,126,300,2767,536,3274,0,33008,27834,4,false,52,|1|2|2|13|
instagram,100,Satoshi KAMIYA,Ryujin 2.1,5325,11097,5773,300,453998,119105,586781,0,31565446,30523575,249,true,145022807077009785772197058860978751779119878255550804082621437002098231214080000000,|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|4|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|2|3|5|4|4|4|950|10000|
instagram,101,Jason KU,Turkey 2.1,231,500,270,300,4335,901,3086,1974,43472,37052,4,false,672,|1|2|2|168|
instagram,102,Traditional (ORIPA Data Set),Pinwheel,12,20,9,300,20,0,16,0,16,4,1,false,1,|1|
instagram,103,Avon KOH,Footballer,78,173,96,300,864,158,764,149,5056,3764,1,false,1,|1|
instagram,104,Kota IMAI,Metallifer,924,2006,1083,300,80473,19009,100116,0,3281399,3107963,11,false,331776,|1|2|2|2|2|2|2|3|3|2|288|
instagram,105,Hideo KOMATSU,Rhino,122,259,138,300,3317,539,4140,0,44360,38316,5,false,696,|1|3|2|2|58|
instagram,106,Kei MORISUE,7 Segment Display (off),117,221,105,300,936,182,934,0,5200,3700,3,false,4,|1|2|2|
instagram,107,Kei MORISUE,7 Segment Display (on),121,235,115,300,1084,195,1075,52,5887,4192,3,false,4,|1|2|2|
instagram,108,Ryan WELSH,Titan Beetle,718,1525,808,300,34216,12814,31746,0,842754,762329,21,false,154618822656,|1|2|2|2|2|2|2|2|2|2|2|2|2|4|4|6|6|16|16|16|16|
instagram,109,Tae Yong YOO,Pochita,190,405,216,300,7056,1358,8822,0,129372,115526,7,false,2400,|1|2|2|2|2|10|15|
instagram,110,Kyohei KATSUTA,Fox Wedding Groom,107,236,130,300,4197,648,5292,0,88996,81330,6,false,648,|1|3|3|3|3|8|
instagram,111,Satoshi KAMIYA,Wizard,227,502,276,300,28044,11038,24340,0,1840325,1772563,1,false,1,|1|
instagram,112,Kota IMAI,Cicada v1,1003,2159,1157,300,111796,33128,119538,0,6874837,6626132,14,true,65545216000000,|1|2|2|2|2|4|4|5|5|4|4|253|253|10000|
instagram,113,Hideo KOMATSU,Fox,49,102,54,300,607,180,516,0,3636,2512,4,false,12,|1|2|2|3|
instagram,114,Kei MORISUE,Kirby,47,89,43,300,336,26,363,0,1379,952,3,false,16,|1|4|4|
instagram,115,Masashi TANAKA,Dice 13,154,331,178,300,3508,1020,2907,0,39104,32471,9,false,322560,|1|2|2|2|2|10|2|14|72|
instagram,116,Masashi TANAKA,Dice 8,176,355,180,300,2149,340,2398,0,13938,10482,7,false,1728,|1|2|2|2|3|6|12|
instagram,117,Masashi TANAKA,Dice 15,95,181,87,300,897,103,1087,0,4565,3174,4,false,8,|1|2|2|2|
instagram,118,Kyohei KATSUTA,Fox Wedding Cub,46,97,52,300,586,118,542,0,3456,2520,2,false,28,|1|28|
instagram,119,Satoshi KAMIYA,Wasp,382,807,426,300,27390,6992,34735,0,1040739,979218,6,false,720,|1|2|2|5|6|6|
instagram,120,Kota IMAI,Forest Scorpion,1042,2247,1206,300,113701,32577,132694,0,6486341,6226807,10,false,9216,|1|2|2|3|3|4|4|4|2|2|
instagram,121,Hideo KOMATSU (ORIPA Data Set),rafflesia,60,120,61,300,380,44,432,0,1144,620,9,false,6561,|1|3|3|3|3|3|3|3|3|
instagram,122,Kei MORISUE,jitome,82,160,79,300,604,33,703,33,2257,1494,4,false,176,|1|2|2|44|
instagram,123,Shuki KATO,Bison,336,709,374,300,11703,2108,14656,0,208820,186448,7,false,8642304,|1|2|2|3|88|88|93|
instagram,124,Xiao CHEN,Horse,68,161,94,300,2259,412,2654,0,31020,26882,2,false,3,|1|3|
instagram,125,Daniel BROWN,seamless4x4,82,162,81,300,579,138,500,0,2097,1197,3,false,4,|1|2|2|
instagram,126,Yuchao LUO,Bing Dwen Dwen,599,1248,650,300,14577,753,16626,5816,164004,145038,16,false,4682022912,|1|3|3|2|2|2|3|3|4|4|4|4|12|12|14|14|
